player,team,specific_position,age,market_value,contract_expiration,Matchs joués  ,Minutes jouées  ,goals,xg,birth_country,Passeport pays  ,foot,height,weight,loan
M. Essahel,UTS Rabat,"LCMF, RCMF",23.0,0,,11,746,2,1.51,Morocco,Morocco,,0,0,non
C. El Allachi,De Graafschap,"LAMF, LW, LWF",21.0,0,2028-06-30,29,1617,4,5.6,Netherlands,"Netherlands, Morocco",droite,0,0,non
O. Faridi,Saluzzo,"LCMF, RCMF, LDMF",32.0,0,,32,2564,6,3.62,Morocco,Morocco,unknown,0,0,non
M. Hamdi,Angoulême,"RCB, CB, LCB",33.0,0,,11,1058,0,1.37,France,"France, Morocco",droite,184,77,non
M. Oukhattou,Sparta Rotterdam II,"AMF, LCMF",21.0,0,2027-06-30,20,1497,2,3.95,Morocco,"Morocco, Netherlands",droite,0,0,non
Hamza Bellari,Eldense,"LW, RW, CF",23.0,0,2026-06-30,34,1490,3,3.91,Spain,"Spain, Morocco",gauche,0,0,non
H. Asrir,Al Buqa'a,"RCB, RB",33.0,0,,5,484,0,0.0,Morocco,Morocco,,186,0,non
S. El Hadani,Ajman,"CF, LW, RW",21.0,0,,20,922,1,2.46,Morocco,Morocco,,0,0,non
N. Zoukit,Aarau,"RCMF, DMF",25.0,0,2027-06-30,36,3317,0,1.55,Switzerland,"Switzerland, Morocco",,188,0,non
A. El Battioui,Atlético Astorga,"CF, LAMF, LW",25.0,0,,12,898,4,2.05,Spain,"Spain, Morocco",droite,182,76,non
R. Kaddouri,FC 93 Bobigny BG,"CB, DMF, LCMF",30.0,0,2026-06-30,6,560,0,0.01,France,"France, Morocco",droite,186,73,non
H. Lakhyar,Atlético Malagueño,"LW, RW, LAMF",19.0,0,,21,1070,1,0.89,Morocco,Morocco,unknown,177,0,non
W. Chahid,Navalcarnero,"RB, RW",24.0,0,,12,500,0,0.19,Morocco,Morocco,droite,0,0,non
M. Loune,Alemannia Aachen,"AMF, RWF",22.0,0,2027-06-30,26,1878,5,2.02,Germany,"Germany, Morocco",droite,172,62,non
Amin Bouzaig,Ourense CF,CF,29.0,0,2026-06-30,31,2083,3,6.31,Spain,"Spain, Morocco",droite,181,73,non
P. Gadio,Akhmat Grozny,"RDMF, RCMF, LDMF",24.0,0,2028-06-30,13,483,0,0.1,Morocco,Morocco,,0,0,non
E. Breir,FSV Frankfurt,"RB, LCMF, RCMF",21.0,0,2028-06-30,22,667,0,0.01,Germany,"Germany, Morocco",droite,174,67,non
I. Sebaoui,Sint-Truiden,"LAMF, LWF, LW",24.0,0,2028-06-30,42,3650,5,7.32,Belgium,"Belgium, Morocco",droite,180,70,non
A. Baallal,Saint-Étienne U19,"RCMF, DMF",19.0,0,,7,524,2,0.98,Morocco,Morocco,unknown,0,0,non
M. El Boukammiri,Lommel SK,"RW, RAMF",22.0,0,2029-06-30,35,2156,6,6.5,Belgium,"Belgium, Morocco",gauche,180,70,non
A. Soussi,Al Dhafra,CF,23.0,0,2026-06-30,17,844,2,2.23,Morocco,"Morocco, Belgium",droite,0,0,non
A. Boudri,Los Angeles FC,"LCMF, AMF",21.0,0,2029-06-30,23,1691,5,4.48,Sweden,"Sweden, Morocco",droite,176,60,non
A. Baallal,Clermont,"LCMF, LDMF",21.0,0,2027-06-30,27,2313,1,1.66,Morocco,Morocco,,0,0,non
Z. Ariss,Bastia,"LB, LWB",21.0,0,2028-06-30,30,2769,0,1.63,France,"France, Morocco",gauche,178,72,non
A. Boutrah,Bastia,"LAMF, LW, CF",25.0,0,2028-06-30,29,2168,2,3.98,France,"France, Morocco",droite,171,60,non
B. Ksiouar,Bonner SC,"RB, RCB, LCB",23.0,0,2027-06-30,15,1009,1,0.52,Morocco,"Morocco, Germany",droite,0,0,non
Khalil Fayad,Montpellier,"AMF, LDMF, RDMF",21.0,0,2027-06-30,21,819,1,0.83,France,"France, Morocco",droite,172,61,non
N. Aberdin,Al Jazira,"RCB, LCB",23.0,0,2028-06-30,19,1169,0,0.07,France,"France, Morocco",droite,192,83,oui
Z. Loukili,Landskrona,"RCMF, LCMF, AMF",20.0,0,2028-12-31,21,1119,1,2.1,Sweden,"Sweden, Morocco",droite,175,65,oui
Z. Sdaigui,Antella 99,"AMF, LW, RWF",25.0,0,,6,432,0,0.34,Italy,"Italy, Morocco",droite,186,75,non
Y. El Ouatki,VPS,"LCMF, AMF",27.0,0,2026-12-31,20,1571,1,2.37,France,"France, Morocco",gauche,184,78,non
Y. Ben Khaleq,Al Ain,"LCB, RCB",24.0,0,,33,2984,2,1.24,Morocco,Morocco,droite,0,0,non
