player,team,specific_position,age,market_value,contract_expiration,Matchs joués  ,Minutes jouées  ,goals,xg,birth_country,Passeport pays  ,foot,height,weight,loan
H. El Moussaoui,RSB Berkane,LB,33.0,900000,2026-06-30,30,2871,1,0.84,Morocco,Morocco,,181,0,non
S. Bougrine,Raja Casablanca,"AMF, CF, LCMF",29.0,900000,2027-06-30,28,2042,2,2.3,Belgium,"Belgium, Morocco",droite,174,68,non
A. Zniti,RSB Berkane,GK,37.0,900000,2026-06-30,18,1807,0,0.0,Morocco,Morocco,droite,182,0,non
Y. Begraoui,Estoril,"CF, RWF",24.0,900000,2028-06-30,34,2938,20,13.65,France,"France, Morocco",droite,179,72,non
A. Tuhami,Ceuta,RB,31.0,900000,2027-06-30,26,2046,0,0.71,Spain,"Spain, Morocco",droite,174,71,non
Munir El Kajoui,RSB Berkane,GK,37.0,850000,2026-06-30,11,1174,0,0.0,Morocco,"Morocco, Spain",droite,190,89,non
Issam Faiz,Al Nasr,"LCMF, RCMF, LDMF",26.0,800000,2030-06-30,21,1484,1,0.59,Morocco,"Morocco, United Arab Emirates",droite,175,75,non
Mourad,Club Tijuana,CF,28.0,800000,2027-06-30,30,2068,5,4.88,Spain,"Spain, Morocco",droite,190,85,non
W. Ould-Chikh,Heracles,"LW, LAMF, CF",26.0,800000,2027-06-30,28,1840,2,1.41,Netherlands,"Netherlands, Morocco",droite,186,75,oui
I. Chouaref,Sion,"LAMF, RAMF, RW",25.0,800000,2028-06-30,48,3924,10,7.07,France,"France, Morocco",droite,175,65,non
O. El Hajjam,Bordeaux,RB,35.0,800000,2026-06-30,15,1349,0,0.69,France,"France, Morocco",droite,180,72,non
A. Sbaï,Angers SCO,"LAMF, CF, LW",25.0,800000,2027-06-30,28,2150,4,6.02,France,"France, Morocco",droite,175,67,non
A. Belhadji,Ceramica,"LCMF, AMF",28.0,800000,2027-06-30,29,2045,3,4.37,Morocco,"Morocco, Spain",les deux,176,0,non
A. Tahif,Umm Salal,"LCB, RCB",25.0,750000,,20,1835,0,0.74,Morocco,Morocco,droite,181,0,non
A. Tahiri,Maghreb Fès,"AMF, LCMF, CF",31.0,750000,2027-06-30,21,1289,0,0.89,Belgium,"Belgium, Morocco",droite,179,66,non
A. Bach,FAR Rabat,RB,28.0,750000,2028-06-30,47,4535,2,1.53,Morocco,Morocco,droite,176,74,non
Y. Bakiz,Silkeborg,"AMF, LWF",27.0,700000,2028-06-30,28,1819,2,3.29,Denmark,"Denmark, Morocco",droite,171,65,non
M. Nassoh,NAC Breda,"AMF, RCMF, CF",23.0,700000,2029-06-30,29,2050,5,4.19,Netherlands,"Netherlands, Morocco",droite,188,76,non
H. Faik,Al Bukayriyah,"LCMF, AMF",34.0,700000,2026-06-30,35,3556,1,2.1,Netherlands,"Netherlands, Morocco",gauche,189,82,non
S. Agouzoul,Omonia Nicosia,"LCB, RCB",28.0,700000,2026-06-30,17,1434,0,0.0,Morocco,Morocco,gauche,191,75,oui
Z. Labyad,Corinthians,"RW, LAMF",33.0,700000,2026-12-31,30,1679,6,5.35,Netherlands,"Netherlands, Morocco",les deux,175,74,non
A. Talal,Tobol,"CF, RWF, AMF",30.0,700000,2026-12-31,11,514,1,0.74,Morocco,Morocco,gauche,176,70,non
H. Boumous,Selangor,AMF,30.0,700000,,14,1055,2,1.08,France,"France, Morocco",droite,172,69,non
M. El Idrissy,Troyes,CF,27.0,700000,2026-06-30,28,887,4,2.75,France,"France, Morocco",droite,181,72,non
A. Khafifi,Raja Casablanca,"LCB, RCB",33.0,700000,2027-06-30,20,1952,3,1.22,Morocco,Morocco,droite,183,0,non
Y. Aït Bennasser,Kayserispor,"RCB, DMF, RDMF",29.0,700000,2027-06-30,21,1585,0,0.18,France,"France, Morocco",droite,184,78,non
A. Tagnaouti,FAR Rabat,GK,30.0,700000,,27,2707,0,0.0,Morocco,Morocco,droite,192,70,non
Y. Lebhiri,RSB Berkane,"LCMF, DMF, LDMF",31.0,700000,2029-06-30,20,1683,1,1.68,Morocco,Morocco,,0,0,non
H. Mahou,Lugano,"LAMF, LWB, LW",26.0,700000,2026-06-30,24,1169,1,1.67,France,"France, Morocco",droite,180,71,non
Y. El Fahli,FAR Rabat,"CF, RAMF",29.0,700000,,31,2695,7,4.68,Morocco,Morocco,droite,182,70,non
S. Oukhadda,Casertana,"RB, RWB",27.0,650000,2026-06-30,39,3526,1,1.44,Italy,"Italy, Morocco",droite,187,80,non
M. Batna,Al Fateh,"CF, RAMF, RW",35.0,650000,2027-06-30,32,2930,10,15.48,Morocco,Morocco,droite,185,76,non
N. Sadaoui,Kerala Blasters,"LAMF, LWF, LW",32.0,650000,,17,1089,1,2.27,Morocco,"Morocco, United States",droite,180,72,non
A. Zoubir,Qarabag,"LAMF, AMF, LWF",34.0,650000,2027-06-30,50,3791,9,11.78,France,"France, Morocco",droite,180,75,non
M. Taabouni,Al Sailiya,"LAMF, CF, LW",24.0,650000,2026-06-30,14,942,0,1.69,Netherlands,"Netherlands, Morocco",droite,178,68,non
S. Chihab,Maghreb Fès,GK,33.0,650000,2028-06-30,22,2216,0,0.0,Morocco,Morocco,droite,198,0,non
M. Louadni,FAR Rabat,"RCB, LCB",31.0,650000,2027-06-30,38,3480,0,4.02,Morocco,Morocco,,182,0,non
A. Assal,RSB Berkane,"LCB, RCB, RB",28.0,650000,2026-06-30,24,2249,0,0.45,Morocco,Morocco,droite,190,0,non
A. El Msane,FUS Rabat,LCB,31.0,650000,,19,1835,0,0.63,Morocco,Morocco,gauche,169,64,non
M. Saadane,Al Fateh,"LCB, CB",34.0,650000,2026-06-30,38,3658,0,2.11,Morocco,Morocco,droite,188,83,non
H. Hamiani,Olympic Safi,GK,32.0,650000,2027-06-30,26,2575,0,0.0,Morocco,Morocco,droite,187,0,non
H. Ahadad,Hassania Agadir,"CF, AMF, LWF",31.0,650000,,15,862,0,1.26,Morocco,Morocco,droite,178,78,non
H. Khaba,FAR Rabat,CF,30.0,650000,2027-06-30,26,1308,3,5.62,Morocco,Morocco,droite,187,0,non
A. Majid,CODM Meknès,GK,31.0,650000,2027-06-30,14,1385,0,0.0,Morocco,Morocco,,182,0,non
A. Khammas,Raja Casablanca,LB,27.0,650000,2030-06-30,21,1296,0,1.01,Belgium,"Belgium, Morocco",gauche,172,68,non
Z. Marour,Yacoub El Mansour,LCB,31.0,650000,2026-06-30,23,2293,0,2.09,Morocco,Morocco,gauche,182,0,non
A. El Messaoudi,Qingdao Hainiu,"AMF, LWF, CF",30.0,600000,,30,2590,6,7.53,Belgium,"Belgium, Morocco",droite,182,83,non
N. Chadli,Bani Yas,"CF, RAMF, RW",24.0,600000,2028-06-30,27,1163,3,3.19,France,"France, Morocco",gauche,181,70,oui
E. Maouhoub,Dinamo Moskva,"RWF, CF, RW",22.0,600000,2029-06-30,21,853,3,3.66,Morocco,Morocco,droite,186,73,non
A. Azhil,Borussia Dortmund II,"RDMF, RB, DMF",25.0,600000,2027-06-30,30,2414,1,1.22,Germany,"Germany, Morocco",droite,175,67,non
A. Assal,Al Wakrah,"LAMF, RAMF, LW",24.0,600000,2028-06-30,22,1486,4,4.76,England,"England, Morocco",droite,162,62,non
A. Harmach,Maghreb Fès,"RCMF, RDMF",33.0,600000,2027-06-30,19,1496,2,0.86,France,"France, Morocco",,176,0,non
A. Souane,FUS Rabat,"RAMF, RW",24.0,600000,2027-06-30,24,1436,3,4.66,Morocco,Morocco,droite,182,0,non
Z. Machach,RSB Berkane,"AMF, CF, LCMF",30.0,600000,2026-06-30,25,1182,1,2.28,France,"France, Morocco",droite,185,77,non
S. El Moudane,Olympic Safi,"LDMF, RCMF, LCMF",32.0,600000,2026-06-30,20,1735,6,4.11,Morocco,Morocco,droite,178,82,non
M. Bahsain,Hassania Agadir,"LB, LCB, RCB",27.0,600000,2027-06-30,20,2020,0,0.1,Morocco,Morocco,gauche,180,0,non
M. El Allouchi,Willem II,LW,31.0,600000,2026-06-30,38,2400,5,7.66,Netherlands,"Netherlands, Morocco",droite,172,72,non
Y. Abdelhamid,FAR Rabat,"LCB, CB",38.0,600000,2026-06-30,21,1457,1,1.21,France,"France, Morocco",gauche,190,83,non
B. Ould-Chikh,Volendam,"RAMF, RWF, RW",28.0,600000,2027-06-30,22,1591,1,1.73,Netherlands,"Netherlands, Morocco",gauche,170,59,oui
M. Rayhi,Wydad Casablanca,"LAMF, LW, CF",31.0,600000,2026-06-30,16,744,0,1.62,Netherlands,"Netherlands, Morocco",gauche,178,67,non
I. Oulad Omar,Noah,"AMF, LCMF, CF",28.0,600000,2027-06-30,29,1335,8,4.98,Netherlands,"Netherlands, Morocco",les deux,183,77,non
O. Jerrari,Difaâ El Jadida,LB,31.0,550000,,10,887,0,0.0,Morocco,Morocco,gauche,177,0,non
M. Edjouma,Qingdao Hainiu,"LDMF, LCMF, RDMF",29.0,550000,2026-06-30,30,1921,4,3.12,France,"France, Morocco",droite,191,86,non
Z. Derrag,FAR Rabat,"RDMF, RCMF",27.0,550000,2028-06-30,22,1879,0,0.88,Morocco,Morocco,droite,171,0,non
S. Chakla,Iraklis 1908,"RCB, LCB",32.0,550000,2027-06-30,25,2338,3,1.44,Morocco,"Morocco, Spain",droite,188,77,non
H. Regragui,UTS Rabat,"LCB, DMF, RCMF",28.0,550000,,17,1550,0,1.49,Morocco,Morocco,les deux,190,0,non
L. Naji,CODM Meknès,"DMF, LDMF",35.0,550000,,19,1894,2,1.27,Morocco,Morocco,droite,185,0,non
O. Lamlioui,RSB Berkane,CF,30.0,550000,,25,2053,12,9.75,Morocco,Morocco,les deux,180,70,non
M. El Morabit,RSB Berkane,"AMF, LW, RCMF",27.0,550000,2026-06-30,21,724,1,0.66,Morocco,Morocco,droite,179,0,non
S. Bouhra,Khalidiya ,"LW, LAMF, RAMF",26.0,550000,,23,1829,5,6.08,Morocco,Morocco,droite,178,0,non
A. Hammoudan,FAR Rabat,"LAMF, LW",34.0,550000,,35,2289,2,4.74,Morocco,Morocco,droite,176,67,non
O. Zemraoui,Al Masry,"AMF, RCMF",24.0,550000,2026-06-30,25,1516,2,1.67,Morocco,Morocco,,0,0,oui
A. Lamirat,Wydad Casablanca,"DMF, RDMF, LDMF",28.0,550000,2028-06-30,25,2073,0,1.58,Morocco,Morocco,les deux,181,69,non
A. Boucheta,Wydad Casablanca,LB,32.0,550000,2026-06-30,22,2131,0,0.51,Morocco,Morocco,gauche,173,68,non
I. Benktib,CODM Meknès,"LCMF, RDMF, LAMF",27.0,550000,2026-06-30,18,1535,0,0.61,Spain,"Spain, Morocco",droite,178,73,non
A. Maurer,RWD Molenbeek,"LW, LAMF",21.0,500000,2027-06-30,29,2188,6,7.02,France,"France, Morocco",droite,173,70,non
K. Ruiz-Atil,Liège,"AMF, CF, LCMF",23.0,500000,2027-06-30,22,1440,1,1.89,France,"France, Morocco",droite,178,66,non
Z. Fdaouch,Nancy,"LW, LWF, AMF",29.0,500000,2027-06-30,31,2445,5,5.66,France,"France, Morocco",gauche,172,68,non
A. Baadi,Raja Casablanca,"RB, RWB",30.0,500000,2026-06-30,10,411,0,0.07,Morocco,Morocco,,173,0,non
A. Jabbari,Cincinnati,CF,26.0,500000,2028-12-31,23,702,3,2.78,Morocco,Morocco,gauche,198,78,non
A. Boutouil,Al Hazem,"LCB, CB",28.0,500000,2027-06-30,16,1211,0,0.14,Morocco,Morocco,gauche,188,78,non
H. Afsal,Maghreb Fès,"LCMF, LDMF, AMF",29.0,500000,,22,990,2,1.36,Morocco,Morocco,les deux,184,0,non
S. Allouch,Maghreb Fès,"LWF, LAMF, LW",24.0,500000,2028-06-30,20,1561,3,2.42,Netherlands,"Netherlands, Morocco",droite,174,65,non
A. Najah,Al Orubah,"LCMF, LDMF",28.0,500000,2026-06-30,32,3227,0,0.64,Netherlands,"Netherlands, Morocco",droite,176,67,non
A. Mahir,FUS Rabat,"RCMF, LDMF, RDMF",29.0,500000,,21,2015,1,0.75,Morocco,Morocco,droite,176,0,non
O. Soukhane,FUS Rabat,LB,27.0,500000,,20,1861,0,0.48,Morocco,Morocco,gauche,179,0,non
H. Hannouri,Wydad Casablanca,CF,28.0,500000,2028-06-30,22,1686,6,5.91,Morocco,Morocco,droite,188,0,non
J. Tachtach,Hassania Agadir,"LDMF, LCMF, RDMF",31.0,500000,2026-06-30,17,1157,0,0.28,Morocco,Morocco,,0,0,non
M. Ounajem,Hassania Agadir,"RAMF, RW, LB",34.0,500000,2027-06-30,23,1478,3,2.18,Morocco,Morocco,droite,173,66,oui
K. Ouarkhane,FAR Rabat,"AMF, RDMF, CF",26.0,500000,2027-06-30,35,2623,4,4.6,Morocco,Morocco,droite,179,66,non
A. Ouahim,Khalidiya ,"LCMF, CF, AMF",28.0,500000,2026-06-30,12,959,2,2.47,Germany,"Germany, Morocco",droite,175,66,non
B. El Ouadghiri,Ittihad Tanger,"RCB, LCB",24.0,500000,2027-06-30,17,1515,2,1.79,Morocco,Morocco,,0,0,non
B. Gaddarine,Ittihad Tanger,"LCB, LB",28.0,500000,2026-06-30,19,1898,0,0.45,Morocco,Morocco,gauche,178,72,non
Y. Bahassa,Ypsonas,"LAMF, LW, AMF",34.0,450000,,29,1968,3,1.96,France,"France, Morocco",droite,187,79,non
A. Mourid,Baltika,"LCMF, RCMF, DMF",26.0,450000,2029-06-05,18,865,0,1.0,Morocco,Morocco,droite,180,77,non
W. Rhailouf,UTS Rabat,"RCMF, RDMF, LDMF",27.0,450000,2028-06-30,17,1181,0,1.18,Morocco,Morocco,,0,0,non
Y. Limouri,Petrojet,RCB,27.0,450000,2027-06-30,9,773,0,0.13,Morocco,Morocco,,0,0,non
A. Serrhat,FUS Rabat,"LCMF, RDMF, LDMF",29.0,450000,,21,2110,1,1.68,Morocco,Morocco,,178,0,non
A. Dairani,Khalidiya ,"RCB, LCB",30.0,450000,,17,1627,0,0.27,Morocco,Morocco,les deux,191,0,non
S. El Amrani,Hassania Agadir,RCB,29.0,450000,,13,1197,0,0.99,Morocco,Morocco,gauche,181,0,non
M. Saoud,Ittihad Tanger,"CB, RCB, LCB",30.0,450000,2027-06-30,22,2201,2,2.33,Morocco,Morocco,,0,0,non
M. El Khaloui,Al Dhafra,"LW, LAMF, RW",28.0,400000,2028-06-30,28,2643,5,2.77,Morocco,Morocco,droite,180,67,non
S. Ben Seghir,Neuchâtel Xamax,"LW, LAMF, AMF",23.0,400000,,33,2150,2,3.31,France,"France, Morocco",droite,177,57,non
S. Bourard,Flamurtari Vlorë,"CF, LW, LCMF",30.0,400000,2026-06-30,15,758,2,1.4,Belgium,"Belgium, Morocco",droite,180,69,non
C. El Bahri,,CF,33.0,400000,,11,710,0,0.91,Morocco,Morocco,droite,0,0,non
I. Achik,Salernitana,"CF, LCMF, RWB",25.0,400000,2027-06-30,41,2274,4,4.45,Morocco,Morocco,droite,170,0,non
F. Limouri,Eindhoven,RCB,23.0,400000,2026-06-30,23,1922,2,1.86,Morocco,"Morocco, Netherlands",droite,0,0,non
F. El Khoumisti,Orléans,CF,33.0,400000,2026-06-30,33,3039,20,18.93,France,"France, Morocco",droite,180,75,non
J. Rouhi,Carrarese,"LB, LWB, LCB",22.0,400000,2028-06-30,22,1236,1,0.91,Sweden,"Sweden, Morocco",gauche,183,68,oui
A. Oudrhiri,Maghreb Fès,"RDMF, LCMF",33.0,400000,2027-06-30,18,576,0,0.01,France,"France, Morocco",droite,184,73,non
Z. Bahrou,Khemis Zemamra,CF,29.0,400000,,7,510,1,1.47,Morocco,Morocco,droite,183,0,non
Noah Fatar,Boulogne,"CF, LW, RW",24.0,400000,2027-06-30,30,1811,3,3.45,France,"France, Morocco",gauche,170,64,non
M. Chemlal,Olympic Safi,"AMF, LCMF, RW",31.0,400000,2027-06-30,20,663,0,0.68,France,"France, Morocco",droite,170,64,non
A. Hadraf,FAR Rabat,"AMF, RAMF, CF",28.0,400000,2028-06-30,29,2242,2,3.57,Morocco,Morocco,,0,0,non
Z. Kiani,Ittihad Tanger,"RB, RWB",29.0,400000,2026-06-30,23,2201,1,0.47,Morocco,Morocco,droite,170,64,non
E. Ennaama,Ittihad Tanger,"LCMF, DMF, RCMF",28.0,400000,2028-06-30,17,1062,0,0.48,Morocco,Morocco,droite,190,77,non
H. Elowasti,Wydad Casablanca,"CF, LB, LWF",31.0,400000,2027-06-30,15,767,0,0.65,Morocco,Morocco,droite,0,0,non
S. Lahssaini,La Louvière,"RCMF, DMF, LCMF",27.0,400000,2027-06-30,33,3141,1,0.42,Belgium,"Belgium, Morocco",droite,177,72,non
M. Sahd,CODM Meknès,CF,32.0,400000,2026-06-30,15,889,3,2.91,Morocco,Morocco,droite,182,0,non
M. Fouzair,UTS Rabat,"RW, RAMF",34.0,375000,2027-06-30,10,658,1,1.44,Morocco,Morocco,droite,168,69,non
H. Buihamghet,Al Ahli,"DMF, RDMF, RCB",28.0,375000,2027-06-30,18,1809,0,0.13,Morocco,Morocco,droite,0,0,non
Y. Anouar,CODM Meknès,"LW, LAMF, LWF",35.0,375000,2026-06-30,15,932,0,0.73,Morocco,Morocco,droite,165,0,non
S. Ahannach,Yacoub El Mansour,"RCMF, LAMF, AMF",30.0,375000,,22,1725,2,1.51,Netherlands,"Netherlands, Morocco",droite,179,72,non
A. Ait Ourehbi,Youssoufia Berrechid,"AMF, LCMF, CF",30.0,350000,,15,1140,2,2.65,Morocco,Morocco,,178,75,non
Z. Hadraf,Khemis Zemamra,"LAMF, LWF, CF",34.0,350000,,17,697,1,1.42,Morocco,Morocco,droite,175,0,non
M. Bemammer,Chennaiyin FC,"LDMF, LCMF, RCMF",36.0,350000,,11,904,0,0.21,Morocco,Morocco,droite,184,80,non
R. Kharchouch,Omonia 29th May,CF,30.0,350000,,21,935,4,6.3,Netherlands,"Netherlands, Morocco",droite,192,86,non
Domi Berlanga,Atlètic Club d'Escaldes,"RW, RAMF, CF",31.0,350000,2026-06-30,26,1970,12,5.3,Morocco,"Morocco, Spain",,180,0,non
M. Rabja,Al Dhafra,"LCB, CB",32.0,350000,,25,2217,0,1.11,Morocco,Morocco,gauche,186,0,non
Jasin Assehnoun,Omonia Aradippou,"LAMF, LW, RAMF",27.0,350000,,31,1298,7,3.17,Finland,"Finland, Morocco",les deux,175,68,non
M. Louzif,Villefranche,"RCMF, LCMF",25.0,350000,2027-06-30,23,1465,2,1.3,France,"France, Morocco",droite,184,70,non
A. Absalem,Helmond Sport,"LB, LW",28.0,350000,2026-06-30,28,1829,0,2.96,Netherlands,"Netherlands, Morocco",gauche,175,65,non
O. Mhamdi,Verl,RB,23.0,350000,2026-06-30,36,3398,10,4.01,Germany,"Germany, Morocco",droite,186,82,non
A. Wahib,Valenciennes,LB,26.0,350000,,20,1272,0,0.19,Morocco,Morocco,gauche,177,70,non
Y. Arbidi,Hassania Agadir,"LAMF, LW, RWB",29.0,350000,2027-06-30,10,622,0,0.67,Morocco,Morocco,gauche,171,0,non
Y. Bammou,UTS Rabat,CF,34.0,350000,2027-06-30,15,1098,2,2.56,France,"France, Morocco",droite,188,78,non
M. Kamal,Khemis Zemamra,"LB, RAMF, CF",30.0,350000,,15,820,0,0.19,Morocco,Morocco,,0,0,non
M. Maftah,RSB Berkane,GK,32.0,350000,2027-06-30,8,800,0,0.0,Morocco,Morocco,,190,0,non
S. El Morsli,Olympic Safi,"LB, LCMF",28.0,350000,2026-06-30,27,2330,0,1.77,Morocco,Morocco,gauche,170,69,non
O. Mahrous,Kawkab Marrakech,"DMF, RDMF, RCMF",31.0,350000,2027-06-30,13,946,0,0.47,Morocco,Morocco,,175,69,non
Ayoub Abou,Septemvri Sofia,"LCMF, DMF",27.0,350000,2027-06-30,18,1058,0,0.12,Morocco,"Morocco, Spain",droite,176,67,non
Z. Fati,Yacoub El Mansour,"AMF, LCMF",33.0,350000,2027-06-30,23,1753,6,3.95,Morocco,Morocco,,175,0,non
G. Yahyai,Stevenage,CF,25.0,325000,2028-06-30,18,783,4,4.82,Spain,"Spain, Morocco",droite,187,77,oui
A. Ajaraie,Persija,"LW, CF, LAMF",33.0,325000,2028-05-31,17,1026,5,3.86,Morocco,Morocco,droite,177,73,oui
N. Bannis,Vitesse,CF,24.0,325000,2027-06-30,32,1594,9,6.38,Netherlands,"Netherlands, Morocco",droite,184,74,non
D. Saddiki,VVV Venlo,"RDMF, LCMF, DMF",29.0,325000,2026-06-30,24,1210,0,1.87,Netherlands,"Netherlands, Morocco",droite,179,70,non
A. El Bouchataoui,Pro Vercelli,"DMF, RDMF",26.0,325000,,27,2243,1,0.79,Netherlands,"Netherlands, Morocco",droite,179,74,non
H. Ait Allal,Maghreb Fès,RB,26.0,325000,2027-06-30,14,1275,1,0.05,Morocco,Morocco,droite,184,0,non
M. Ferni,Khemis Zemamra,GK,26.0,325000,2026-06-30,5,511,0,0.0,Morocco,Morocco,droite,186,79,non
A. El Ouaad,Ittihad Tanger,GK,30.0,325000,,21,2110,0,0.0,Morocco,Morocco,droite,188,81,non
I. El Haddad,,"RAMF, RW, LAMF",34.0,300000,,8,606,1,1.36,Morocco,Morocco,gauche,178,70,non
N. Boujellab,Havelse,"LCMF, RCMF, AMF",26.0,300000,2026-06-30,32,2847,7,6.94,Germany,"Germany, Morocco",les deux,181,72,non
R. El Azrak,Shaanxi Union,"LCMF, AMF",26.0,300000,2026-12-31,27,2441,5,4.82,Netherlands,"Netherlands, Morocco",droite,170,64,non
Y. El-Arabi,Nantes,CF,39.0,300000,2026-06-30,27,1201,4,4.9,France,"France, Morocco",droite,183,84,non
T. Bouchlarhem,Étoile Carouge,"LW, LWF, LAMF",25.0,300000,2026-06-30,32,1569,3,4.07,France,"France, Morocco",droite,180,72,non
K. Rossi,Shamakhi FK,CF,32.0,300000,2026-06-30,34,2893,11,12.0,Switzerland,"Switzerland, Morocco",les deux,189,78,non
Z. Lahlali,Al Jubail,"RCMF, LDMF, LCMF",35.0,300000,,30,2467,1,1.92,Morocco,Morocco,droite,177,0,non
H. El Kaouakibi,Südtirol,RCB,28.0,300000,2028-06-30,34,2797,1,1.5,Italy,"Italy, Morocco",droite,185,79,non
A. Aourir,Rot-Weiß Oberhausen,"CF, RWF, RCMF",21.0,300000,2026-06-30,19,726,3,1.8,Germany,"Germany, Morocco",les deux,172,62,non
Y. Ezzejjari,East Bengal,CF,33.0,300000,,23,1951,18,14.94,Spain,"Spain, Morocco",droite,185,0,non
Y. Ben Balla,Schalke 04 II,"LDMF, DMF, LCMF",30.0,300000,2028-06-30,33,3181,14,11.17,France,"France, Morocco",droite,180,73,non
M. Sellouki,Laval,"AMF, RW, RWF",26.0,300000,2027-06-30,33,2285,6,7.14,France,"France, Morocco",droite,177,67,non
Y. Zghoudi,Kawkab Marrakech,"LAMF, CF, RW",33.0,300000,2027-06-30,17,932,1,2.27,Morocco,Morocco,,182,0,non
A. Madkour,Khemis Zemamra,RB,25.0,300000,2026-06-30,15,1287,0,0.33,Morocco,Morocco,droite,0,0,non
B. El Bahraoui,UTS Rabat,"CF, RW, RAMF",33.0,300000,2027-06-30,15,628,0,1.0,Morocco,Morocco,,177,0,non
D. Abzi,FC Supra,LB,27.0,300000,2026-12-31,8,672,1,1.58,Morocco,"Morocco, Canada",gauche,185,75,non
Moha Moukhliss,Vizela,"LCMF, RDMF, RCMF",26.0,300000,2027-06-30,32,2872,2,0.68,Spain,"Spain, Morocco",droite,169,66,non
Faysal Chouaib,Inter Club d'Escaldes,"CF, RWF, RW",26.0,300000,2026-06-30,24,2021,7,5.51,Spain,"Spain, Morocco",gauche,187,0,non
I. Alhaft,Bangkok United,"RW, RAMF, RCMF",29.0,300000,2026-06-30,37,2343,7,6.99,Netherlands,"Netherlands, Morocco",gauche,172,68,non
M. Bouchouari,Wydad Casablanca,"RB, RWB",25.0,300000,2028-06-30,16,991,0,0.31,Belgium,"Belgium, Morocco",les deux,170,61,non
N. Amrabat,Wydad Casablanca,"RAMF, RWF, RW",39.0,300000,,29,1922,4,3.2,Netherlands,"Netherlands, Morocco",droite,179,87,non
W. Sabbar,Wydad Casablanca,"LDMF, DMF",30.0,300000,2027-06-30,16,1093,3,0.67,Morocco,Morocco,droite,177,64,non
A. Lamrabat,Ittihad Tanger,"LWB, LB",32.0,300000,2026-06-30,18,1488,0,0.06,Morocco,Morocco,gauche,173,0,non
H. Boussefiane,Yacoub El Mansour,"RW, RAMF",28.0,300000,2026-06-30,23,1030,0,0.34,Morocco,Morocco,droite,177,65,non
B. Aouk,,"RW, RWF, RAMF",29.0,275000,,10,622,1,0.38,Morocco,Morocco,droite,166,0,non
A. Forsy,UTS Rabat,"RCMF, RW, AMF",27.0,275000,2028-06-30,9,436,0,0.03,Morocco,Morocco,les deux,170,0,non
A. Ahannach,Muang Thong United,"AMF, CF, RCMF",28.0,275000,2026-06-30,26,1443,4,2.84,Netherlands,"Netherlands, Morocco",droite,179,70,non
A. Nouader,CODM Meknès,RCB,28.0,275000,,12,732,0,0.09,France,"France, Morocco",,182,0,non
W. Jarmouni,Hassania Agadir,"CF, RW, RWF",25.0,250000,2028-06-30,16,1222,8,7.9,France,"France, Morocco",gauche,189,82,non
Hamza Ryahi,Atlètic Club d'Escaldes,"LCMF, LDMF, AMF",32.0,250000,2026-06-30,19,1192,0,0.56,Spain,"Spain, Morocco",droite,175,67,non
S. Agougil,Paradiso,"LCMF, RCMF",24.0,250000,2026-06-30,8,567,1,0.22,Netherlands,"Netherlands, Morocco",droite,182,73,non
M. Rabii,Al Jazira,RB,24.0,250000,2027-06-30,30,2574,3,1.08,Morocco,Morocco,,0,0,non
A. Regattin,Sarıyer,"LCMF, LAMF",34.0,250000,2026-06-30,21,1534,3,4.05,France,"France, Morocco",droite,168,65,non
M. Mallahi,Pro Vercelli,"RWF, RAMF, LAMF",26.0,250000,2027-06-30,26,994,2,1.83,Netherlands,"Netherlands, Morocco",droite,181,74,non
Y. Boudadi,Union Omaha,"RB, RCB",30.0,250000,2026-11-30,31,2742,0,0.53,Morocco,"Morocco, Belgium",droite,183,77,non
Y. Bouchama,Preußen Münster,"RCMF, LCMF",29.0,250000,2026-06-30,28,1943,2,4.63,Germany,"Germany, Morocco",les deux,182,72,non
A. Farah,Khemis Zemamra,"AMF, RAMF, LAMF",25.0,250000,,15,679,0,0.95,Morocco,Morocco,,0,0,non
D. Trichard,Bordeaux,LB,31.0,250000,,16,1574,0,1.22,France,"France, Morocco",gauche,178,70,non
H. Semmoumy,Olympic Safi,RB,33.0,250000,2027-06-30,13,950,0,0.06,Morocco,Morocco,droite,174,0,non
N. Ouammou,Hassania Agadir,"LB, DMF, RDMF",33.0,250000,2027-06-30,10,776,0,0.07,France,"France, Morocco",gauche,181,73,non
K. Loukili,AF Elbasani,"LW, AMF, LAMF",29.0,250000,2026-06-30,33,2571,4,4.68,Netherlands,"Netherlands, Morocco",droite,175,73,non
F. Abdoul Mutalib,Ittihad Tanger,"RCMF, DMF, LDMF",32.0,250000,2026-06-30,22,1607,1,1.3,Morocco,Morocco,,0,0,non
A. Jbira,,LB,34.0,225000,,14,1199,0,0.21,Morocco,Morocco,gauche,175,0,non
A. Jahouh,Odisha,"RCMF, RDMF, LDMF",37.0,225000,,9,847,1,0.86,Morocco,Morocco,droite,187,0,non
Y. El Kachati,NEC,"CF, LWB",26.0,225000,2028-06-30,21,665,3,2.23,Netherlands,"Netherlands, Morocco",droite,185,76,non
S. Ben Sallam,Panserraikos,RCMF,24.0,225000,2026-06-30,16,871,1,0.08,Netherlands,"Netherlands, Morocco",droite,185,69,non
F. Hammouti,Svay Rieng,"RCB, CB, LCB",29.0,225000,2027-06-30,32,2986,2,1.48,Netherlands,"Netherlands, Morocco",droite,186,80,non
Y. Kordani,Olympic Safi,LCB,35.0,225000,2026-06-30,17,1076,1,0.07,Morocco,Morocco,droite,0,0,non
