player,team,league,position,nationality,secondNationality,active,dataset,age,elo,market_value,minutes,goals,assists,xg,shots
 O. Ait-Fana, Limonest,Botola, ST,Morocco,,yes,Botola, 25,45,0.019,,,,,
 E. Kratzer, Bonner SC,Botola, RW,Morocco,,yes,Botola, 26,46,0.139,,,,,
 Y. Boutouil, Montlouis,Botola, CB,Morocco,,yes,Botola, 27,45,0.001,,,,,
 A. Bensabouh, Quick Boys,Botola, CM,Morocco,,yes,Botola, 27,49,0.147,,,,,
 H. Chahid, Beauvais Oise,Botola, CB,Morocco,,yes,Botola, 25,47,0.008,,,,,
 R. El Idrissi, Koninklijke HFC,Botola, LB,Morocco,,yes,Botola, 27,47,0.044,,,,,
 M. Benktib, KFC Uerdingen 05,Botola, CM,Morocco,,yes,Botola, 24,49,0.046,,,,,
 H. Bouharma, Atlètic Escaldes,Botola, CM,Morocco,,yes,Botola, 31,51,0.632,,,,,
 Y. En-Neyah, Truro City,Botola, CAM,Morocco,,yes,Botola, 25,51,0.045,,,,,
 Karim El Haddouchi, Holbæk B&I,Botola, CM,Morocco,,yes,Botola, 26,46,0.052,,,,,
 S. Sallam, Panserraikos,Botola, CM,Morocco,,yes,Botola, 24,51,0.856,,,,,
 M. Bakour, Excelsior Maassluis,Botola, LW,Morocco,,yes,Botola, 27,50,0.13,,,,,
 A. Hitouss, Mâcon,Botola, RW,Morocco,,yes,Botola, 27,49,0.046,,,,,
 Zakarias, CD Azuaga,Botola, CB,Morocco,,yes,Botola, 27,45,0.025,,,,,
 W. Ben Bella, Montlouis,Botola, DM,Morocco,,yes,Botola, 24,51,0.07,,,,,
 O. Stitou, ASPTT Dijon,Botola, CM,Morocco,,yes,Botola, 25,45,0.019,,,,,
 I. Errahmouni, -,Botola, LW,Morocco,,yes,Botola, 25,47,0.078,,,,,
 Youssef Nouri, Sporting Trestina,Botola, RM,Morocco,,yes,Botola, 24,46,0.047,,,,,
 Ryan Sabry, Voltigeurs Châteaubriant,Botola, RB,Morocco,,yes,Botola, 25,50,0.055,,,,,
 Nabil, CD Móstoles,Botola, ST,Morocco,,yes,Botola, 24,47,0.038,,,,,
 I. Lekbab, Os Limianos,Botola, GK,Morocco,,yes,Botola, 26,46,0.017,,,,,
 Ayman Sellouf, -,Botola, LW,Morocco,,yes,Botola, 24,49,1.176,,,,,
 B. Kandoussi, Arenteiro,Botola, LW,Morocco,,yes,Botola, 26,49,0.174,,,,,
 M. Abouhafs, Atlético Monzón,Botola, RW,Morocco,,yes,Botola, 27,45,0.008,,,,,
 R. El Khamali, -,Botola, CAM,Morocco,,yes,Botola, 23,46,0.061,,,,,
 Y. Ezzejjari, East Bengal Club,Botola, ST,Morocco,,yes,Botola, 32,47,0.236,,,,,
 J. Takidine, Thes Sport,Botola, LB,Morocco,,yes,Botola, 23,48,0.087,,,,,
 M. Sanat, Campodarsego,Botola, RW,Morocco,,yes,Botola, 23,47,0.117,,,,,
 Jonas Rouhi, Carrarese,Botola, LB,Morocco,,yes,Botola, 22,48,1.08,,,,,
 R. Bourles, Sochaux II,Botola, LM,Morocco,,yes,Botola, 23,47,0.124,,,,,
 Walim Lgharbi, Saumur,Botola, CM,Morocco,,yes,Botola, 23,45,0.028,,,,,
 Sami Sakkali, Jong KV Mechelen,Botola, CAM,Morocco,,yes,Botola, 21,49,0.087,,,,,
 A. Majid, Angouleme,Botola, CM,Morocco,,yes,Botola, 23,46,0.047,,,,,
 Ilyas El Gharbi, Londerzeel,Botola, RB,Morocco,,yes,Botola, 22,49,0.06,,,,,
 N. Homssa, Montpellier,Botola, CM,Morocco,,yes,Botola, 23,47,0.042,,,,,
 Y. Zayzoun, UD Ourense,Botola, LW,Morocco,,yes,Botola, 24,47,0.026,,,,,
 M. Belhaj, Saint-Colomban Locminé,Botola, DM,Morocco,,yes,Botola, 25,48,0.04,,,,,
 M. El Fanis, Hamrun Spartans,Botola, CAM,Morocco,,yes,Botola, 22,51,0.318,,,,,
 I. Labiad, Diegem Sport,Botola, RB,Morocco,,yes,Botola, 33,51,0.018,,,,,
 Yassine Bouchnafa, Scheveningen,Botola, ST,Morocco,,yes,Botola, 23,49,0.097,,,,,
 Taufek, Almería B,Botola, LW,Morocco,,yes,Botola, 24,49,0.15,,,,,
 Younes Tufi, Rijnsburgse Boys,Botola, CM,Morocco,,yes,Botola, 21,46,0.101,,,,,
 A. Moutassime, TSG Balingen,Botola, ST,Morocco,,yes,Botola, 21,46,0.051,,,,,
 Iomar, At. Sanluqueño,Botola, ST,Morocco,,yes,Botola, 26,48,0.288,,,,,
 A. Benatia, Verviers,Botola, LWB,Morocco,,yes,Botola, 24,51,0.062,,,,,
 Mustapha Zarouali, Náxara,Botola, RW,Morocco,,yes,Botola, 21,48,0.063,,,,,
 Abdenbi Oubelkhiri, SSV Merten,Botola, CM,Morocco,,yes,Botola, -,46,0.011,,,,,
 Aiman Dardari, Greuther Fürth,Botola, LW,Morocco,,yes,Botola, 20,51,0.645,,,,,
 Ouassim Karada, Kickers Offenbach,Botola, RB,Morocco,,yes,Botola, 20,46,0.038,,,,,
 Rayan Ouchard, Servette II,Botola, RB,Morocco,,yes,Botola, 20,47,0.049,,,,,
 F. Harchaoui, Köln II,Botola, DM,Morocco,,yes,Botola, 20,49,0.056,,,,,
 Y. Abdallah, Blois,Botola, CM,Morocco,,yes,Botola, 22,47,0.041,,,,,
 Nadir Homsa, US Fleury-Merogis,Botola, CM,Morocco,,yes,Botola, 21,49,0.001,,,,,
 A. Nassiri, Istres,Botola, RW,Morocco,,yes,Botola, 21,47,0.049,,,,,
 A. Abderrahman, -,Botola, DM,Morocco,,yes,Botola, 22,46,0.099,,,,,
 Zakaria Loukili, Landskrona BoIS,Botola, CAM,Morocco,,yes,Botola, 20,50,0.396,,,,,
 S. Berradi, Union Saint-Gilloise II,Botola, CAM,Morocco,,yes,Botola, 21,50,0.25,,,,,
 Rayan Buifrahi, Club NXT,Botola, LW,Morocco,,yes,Botola, 20,48,1.03,,,,,
